Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Case Départ,GAMEGENIC : PLAYMAT : SW UNLIMITED : SPEEDER BIKE,gamegenic-playmat-sw-unlimited-speeder-bike,https://casedepart.be/images/ashx/gamegenic-playmat-sw-unlimited-speeder-bike-1.jpeg?s_id=10031884&imgfield=s_image1&imgwidth=300&imgheight=300,24.00,16.80,https://casedepart.be/fr/produit=gamegenic-playmat-sw-unlimited-speeder-bike&id=10031884,,,,,,,
Case Départ,GAMEGENIC : SLEEVES : SW UNLIMITED : HAN SOLO,gamegenic-sleeves-sw-unlimited-han-solo,https://casedepart.be/images/ashx/gamegenic-sleeves-sw-unlimited-han-solo-1.jpeg?s_id=10032847&imgfield=s_image1&imgwidth=300&imgheight=300,8.50,5.95,https://casedepart.be/fr/produit=gamegenic-sleeves-sw-unlimited-han-solo&id=10032847,,,,,,,
Case Départ,GAMEGENIC : SLEEVES : SW UNLIMITED : MOFF GIDEON,gamegenic-sleeves-sw-unlimited-moff-gideon,https://casedepart.be/images/ashx/gamegenic-sleeves-sw-unlimited-moff-gideon-1.jpeg?s_id=10030487&imgfield=s_image1&imgwidth=300&imgheight=300,7.50,5.25,https://casedepart.be/fr/produit=gamegenic-sleeves-sw-unlimited-moff-gideon&id=10030487,,,,,,,
Case Départ,GAMEGENIC : SLEEVES : SW UNLIMITED : OBI-WAN,gamegenic-sleeves-sw-unlimited-obi-wan,https://casedepart.be/images/ashx/gamegenic-sleeves-sw-unlimited-obi-wan-1.jpeg?s_id=10031770&imgfield=s_image1&imgwidth=300&imgheight=300,8.00,5.60,https://casedepart.be/fr/produit=gamegenic-sleeves-sw-unlimited-obi-wan&id=10031770,,,,,,,
Case Départ,GAMEGENIC : SLEEVES : SW UNLIMITED : RED SPACE,gamegenic-sleeves-sw-unlimited-red-space,https://casedepart.be/images/ashx/gamegenic-sleeves-sw-unlimited-red-space-1.jpeg?s_id=10029819&imgfield=s_image1&imgwidth=300&imgheight=300,7.50,5.25,https://casedepart.be/fr/produit=gamegenic-sleeves-sw-unlimited-red-space&id=10029819,,,,,,,
Case Départ,GAMESCAPE : 5 GREAT DRAGON,gamescape-5-great-dragon,https://casedepart.be/images/ashx/gamescape-5-great-dragon-1.jpeg?s_id=10004980&imgfield=s_image1&imgwidth=300&imgheight=300,12.90,3.87,https://casedepart.be/fr/produit=gamescape-5-great-dragon&id=10004980,,,,,,,
Case Départ,GARDIENS DES SAISONS,gardiens-des-saisons,https://casedepart.be/images/ashx/gardiens-des-saisons-1.jpeg?s_id=10027005&imgfield=s_image1&imgwidth=300&imgheight=300,35.00,25.00,https://casedepart.be/fr/produit=gardiens-des-saisons&id=10027005,2,4,40,40,40,7,
Case Départ,GEN 7,gen-7,https://casedepart.be/images/ashx/gen-7-1.jpeg?s_id=10016811&imgfield=s_image1&imgwidth=300&imgheight=300,99.90,49.95,https://casedepart.be/fr/produit=gen-7&id=10016811,,,,,,,
Case Départ,GOBLIN COASTER,goblin-coaster,https://casedepart.be/images/ashx/goblin-coaster-1.jpeg?s_id=10031368&imgfield=s_image1&imgwidth=300&imgheight=300,29.00,14.50,https://casedepart.be/fr/produit=goblin-coaster&id=10031368,1,6,20,20,20,8,
Case Départ,GODS OF ROME,gods-of-rome,https://casedepart.be/images/ashx/gods-of-rome-1.jpeg?s_id=10030852&imgfield=s_image1&imgwidth=300&imgheight=300,40.00,24.00,https://casedepart.be/fr/produit=gods-of-rome&id=10030852,,,,,,,
