Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url,Promotion
UltraJeux,Dead of Winter : Colonies en Guerre,dead-of-winter-colonies-en-guerre,https://www.ultrajeux.com/images/produits/normal/16864.jpg,35.90,32.31,https://www.ultrajeux.com/produit-16864-dead-of-winter-colonies-en-guerre-8435407618015.html,4,11,120,45,120,12,,,Oui
UltraJeux,Archelino,archelino,https://www.ultrajeux.com/images/produits/normal/16780.jpg,24.90,22.41,https://www.ultrajeux.com/produit-16780-archelino-4260071877277.html,,,,,,,,,Oui
UltraJeux,Mot malin,mot-malin,https://www.ultrajeux.com/images/produits/normal/16773.jpg,14.40,13.00,https://www.ultrajeux.com/produit-16773-mot-malin-3664824001208.html,2,6,10,5,10,7,,,Oui
UltraJeux,Marvel Champions : Le Jeu De Cartes - Nova,marvel-champions-le-jeu-de-cartes-nova,https://www.ultrajeux.com/images/produits/normal/16767.jpg,14.95,13.45,https://www.ultrajeux.com/produit-16767-marvel-champions-le-jeu-de-cartes-nova-3558380093220.html,1,4,90,45,90,14,,,Oui
UltraJeux,Gutenberg,gutenberg,https://www.ultrajeux.com/images/produits/normal/16769.jpg,21.90,19.70,https://www.ultrajeux.com/produit-16769-gutenberg-3770009354516.html,1,4,120,60,120,10,,,Oui
UltraJeux,Marvel Champions : Le Jeu De Cartes - Le Bouffon Vert,marvel-champions-le-jeu-de-cartes-le-bouffon-vert,https://www.ultrajeux.com/images/produits/normal/14707.jpg,19.90,17.90,https://www.ultrajeux.com/produit-14707-marvel-champions-le-jeu-de-cartes-le-bouffon-vert-8435407628472.html,1,4,90,45,90,14,,,Oui
UltraJeux,Monster Soup,monster-soup,https://www.ultrajeux.com/images/produits/normal/16736.jpg,24.90,22.40,https://www.ultrajeux.com/produit-16736-monster-soup-3760146647237.html,1,4,15,15,15,5,,,Oui
UltraJeux,Hansa Teutonica - Big Box,hansa-teutonica-big-box,https://www.ultrajeux.com/images/produits/normal/16737.jpg,49.90,44.90,https://www.ultrajeux.com/produit-16737-hansa-teutonica-big-box-3760146648173.html,3,5,90,45,90,12,,,Oui
UltraJeux,Keyflower,keyflower,https://www.ultrajeux.com/images/produits/normal/16739.jpg,47.90,42.90,https://www.ultrajeux.com/produit-16739-keyflower-5060156400166.html,2,6,120,90,120,12,,,Oui
UltraJeux,Horreur À Arkham - Paquet Scénario : La Guerre des Dieux Extérieurs,horreur-a-arkham-paquet-scenario-la-guerre-des-dieux-exterieurs,https://www.ultrajeux.com/images/produits/normal/16745.jpg,19.90,17.90,https://www.ultrajeux.com/produit-16745-horreur-a-arkham-paquet-scenario-la-guerre-des-dieux-exterieurs-8435407632110.html,,,,,,,,,Oui
UltraJeux,Teotihuacan - L'âge préclassique,teotihuacan-l-age-preclassique,https://www.ultrajeux.com/images/produits/normal/16718.jpg,31.90,28.70,https://www.ultrajeux.com/produit-16718-teotihuacan-l-age-preclassique-3701358300046.html,,,,,,,,,Oui
UltraJeux,Catan : Le Jeu de Base,catan-le-jeu-de-base,https://www.ultrajeux.com/images/produits/normal/10961.jpg,39.90,35.90,https://www.ultrajeux.com/produit-10961-catan-le-jeu-de-base-3558380099673.html,2,4,75,75,75,10,,,Oui
UltraJeux,Le cochon qui rit !,le-cochon-qui-rit,https://www.ultrajeux.com/images/produits/normal/16678.jpg,24.90,22.40,https://www.ultrajeux.com/produit-16678-le-cochon-qui-rit-3100171000049.html,2,4,15,15,15,4,,,Oui
UltraJeux,Dobble 360,dobble-360,https://www.ultrajeux.com/images/produits/normal/16680.jpg,20.90,18.81,https://www.ultrajeux.com/produit-16680-dobble-360-3558380063414.html,2,8,10,10,10,6,,,Oui
UltraJeux,Sierra West,sierra-west,https://www.ultrajeux.com/images/produits/normal/16686.jpg,40.90,36.81,https://www.ultrajeux.com/produit-16686-sierra-west-3701358300053.html,1,4,60,40,60,14,,,Oui
UltraJeux,Time's Up Party 2 (version Bleu),time-s-up-party-2-version-bleu,https://www.ultrajeux.com/images/produits/normal/12149.jpg,21.70,19.50,https://www.ultrajeux.com/produit-12149-time-s-up-party-2-version-bleu-5425016923450.html,,,,,,,,,Oui
UltraJeux,Escape Kids 03 - Echappe-toi du Royaume des Bonbons !,escape-kids-03-echappe-toi-du-royaume-des-bonbons,https://www.ultrajeux.com/images/produits/normal/16663.jpg,7.95,7.55,https://www.ultrajeux.com/produit-16663-escape-kids-03-echappe-toi-du-royaume-des-bonbons-9782215173489.html,,,,,,,,,Oui
UltraJeux,Dungeons and Dragons - L'Aventure Commence,dungeons-and-dragons-l-aventure-commence,https://www.ultrajeux.com/images/produits/normal/16666.jpg,36.00,34.20,https://www.ultrajeux.com/produit-16666-dungeons-and-dragons-l-aventure-commence-5010993830176.html,,,,,,,,,Oui
UltraJeux,Crime Zoom : Oiseau de malheur,crime-zoom-oiseau-de-malheur,https://www.ultrajeux.com/images/produits/normal/16656.jpg,12.90,11.60,https://www.ultrajeux.com/produit-16656-crime-zoom-oiseau-de-malheur-9782491629014.html,1,6,60,60,60,14,,,Oui
UltraJeux,Bossin' Space,bossin-space,https://www.ultrajeux.com/images/produits/normal/16645.jpg,28.90,26.01,https://www.ultrajeux.com/produit-16645-bossin-space-8590228047205.html,1,5,90,40,90,8,,,Oui
UltraJeux,Petits Meurtres & Faits Divers,petits-meurtres-faits-divers,https://www.ultrajeux.com/images/produits/normal/10866.jpg,29.90,26.90,https://www.ultrajeux.com/produit-10866-petits-meurtres-faits-divers-3558380002666.html,,,,,,,,,Oui
UltraJeux,7 Wonders : Duel,7-wonders-duel,https://www.ultrajeux.com/images/produits/normal/10885.jpg,24.90,22.40,https://www.ultrajeux.com/produit-10885-7-wonders-duel-5425016923801.html,2,2,30,30,30,10,,,Oui
UltraJeux,Disney Villainous - Cruellement Infect,disney-villainous-cruellement-infect,https://www.ultrajeux.com/images/produits/normal/16640.jpg,26.90,24.20,https://www.ultrajeux.com/produit-16640-disney-villainous-cruellement-infect-4005556268870.html,2,3,60,40,60,10,,,Oui
UltraJeux,Aïe Aïe Burrito,aie-aie-burrito,https://www.ultrajeux.com/images/produits/normal/16628.jpg,24.90,22.40,https://www.ultrajeux.com/produit-16628-aie-aie-burrito-0810083040158.html,2,6,15,15,15,7,,,Oui
UltraJeux,Les Aventuriers Du Rail Europe,les-aventuriers-du-rail-europe,https://www.ultrajeux.com/images/produits/normal/10807.jpg,42.90,38.60,https://www.ultrajeux.com/produit-10807-les-aventuriers-du-rail-europe-0824968717820.html,2,5,60,30,60,8,,,Oui
UltraJeux,Time's Up Party (version Jaune),time-s-up-party-version-jaune,https://www.ultrajeux.com/images/produits/normal/12148.jpg,21.70,19.50,https://www.ultrajeux.com/produit-12148-time-s-up-party-version-jaune-5425016923443.html,,,,,,,,,Oui
UltraJeux,Dobble 123 - Edition 2021,dobble-123-edition-2021,https://www.ultrajeux.com/images/produits/normal/16605.jpg,9.90,8.90,https://www.ultrajeux.com/produit-16605-dobble-123-edition-2021-3558380078081.html,,,,,,,,,Oui
UltraJeux,Bresk !,bresk,https://www.ultrajeux.com/images/produits/normal/16592.jpg,12.50,11.25,https://www.ultrajeux.com/produit-16592-bresk-8710126197844.html,2,5,30,20,30,10,,,Oui
UltraJeux,Dice Town - Pour une poignée de cartes,dice-town-pour-une-poignee-de-cartes,https://www.ultrajeux.com/images/produits/normal/16593.jpg,5.50,4.95,https://www.ultrajeux.com/produit-16593-dice-town-pour-une-poignee-de-cartes-3760146644205.html,2,6,45,45,45,10,,,Oui
UltraJeux,Dice Town - Extension Cowboy,dice-town-extension-cowboy,https://www.ultrajeux.com/images/produits/normal/16594.jpg,14.30,12.90,https://www.ultrajeux.com/produit-16594-dice-town-extension-cowboy-3760146643031.html,,,,,,,,,Oui
UltraJeux,Ta Mère en Slip 2,ta-mere-en-slip-2,https://www.ultrajeux.com/images/produits/normal/16550.jpg,22.90,20.60,https://www.ultrajeux.com/produit-16550-ta-mere-en-slip-2-3760089890820.html,,,,,,,,,Oui
UltraJeux,touché coulé le jeu de cartes.,touche-coule-le-jeu-de-cartes,https://www.ultrajeux.com/images/produits/normal/16549.jpg,5.99,5.50,https://www.ultrajeux.com/produit-16549-touche-coule-le-jeu-de-cartes-5010993646425.html,,,,,,,,,Oui
UltraJeux,Ronchonchon,ronchonchon,https://www.ultrajeux.com/images/produits/normal/16523.jpg,25.00,22.50,https://www.ultrajeux.com/produit-16523-ronchonchon-3760326040001.html,2,6,20,20,20,6,,,Oui
UltraJeux,Mini Fourmidable,mini-fourmidable,https://www.ultrajeux.com/images/produits/normal/16528.jpg,14.50,13.05,https://www.ultrajeux.com/produit-16528-mini-fourmidable-019962873232.html,2,4,20,10,20,8,,,Oui
UltraJeux,Boa - Birth Of America - 1754 - La Conquête,boa-birth-of-america-1754-la-conquete,https://www.ultrajeux.com/images/produits/normal/16530.jpg,44.95,40.45,https://www.ultrajeux.com/produit-16530-boa-birth-of-america-1754-la-conquete-3770001693446.html,,,,,,,,,Oui
UltraJeux,Uno Flip,uno-flip,https://www.ultrajeux.com/images/produits/normal/16532.jpg,15.90,14.30,https://www.ultrajeux.com/produit-16532-uno-flip-0887961751062.html,,,,,,,,,Oui
UltraJeux,Birth of America 1775 - La Révolution Américaine,birth-of-america-1775-la-revolution-americaine,https://www.ultrajeux.com/images/produits/normal/16534.jpg,44.95,40.45,https://www.ultrajeux.com/produit-16534-birth-of-america-1775-la-revolution-americaine-3770001693132.html,2,2,0,0,0,12,,,Oui
UltraJeux,Destins Junior,destins-junior,https://www.ultrajeux.com/images/produits/normal/16543.jpg,22.90,20.61,https://www.ultrajeux.com/produit-16543-destins-junior-5010993638642.html,,,,,,,,,Oui
UltraJeux,Tsuro,tsuro,https://www.ultrajeux.com/images/produits/normal/16518.jpg,30.00,27.00,https://www.ultrajeux.com/produit-16518-tsuro-3760146647541.html,2,8,20,15,20,8,,,Oui
UltraJeux,Backgammon - Série Noire,backgammon-serie-noire,https://www.ultrajeux.com/images/produits/normal/16495.jpg,27.60,24.84,https://www.ultrajeux.com/produit-16495-backgammon-serie-noire-3262190553408.html,2,2,30,30,30,8,,,Oui
UltraJeux,Yam 421 - Série Noire,yam-421-serie-noire,https://www.ultrajeux.com/images/produits/normal/16496.jpg,13.50,12.15,https://www.ultrajeux.com/produit-16496-yam-421-serie-noire-3262190553187.html,,,,,,,,,Oui
UltraJeux,Rummy - Série Noire,rummy-serie-noire,https://www.ultrajeux.com/images/produits/normal/16497.jpg,21.90,19.70,https://www.ultrajeux.com/produit-16497-rummy-serie-noire-3262190552364.html,,,,,,,,,Oui
UltraJeux,Monopoly Classique,monopoly-classique,https://www.ultrajeux.com/images/produits/normal/16499.jpg,39.90,35.90,https://www.ultrajeux.com/produit-16499-monopoly-classique-5010996113665.html,4,8,60,45,60,8,,,Oui
UltraJeux,Crime Zoom : Un Ecrivain Mortel,crime-zoom-un-ecrivain-mortel,https://www.ultrajeux.com/images/produits/normal/16502.jpg,12.90,11.60,https://www.ultrajeux.com/produit-16502-crime-zoom-un-ecrivain-mortel-9782491629021.html,1,6,60,60,60,14,,,Oui
UltraJeux,Aeon's End : Ténèbres d'Ailleurs,aeon-s-end-tenebres-d-ailleurs,https://www.ultrajeux.com/images/produits/normal/16461.jpg,19.95,17.95,https://www.ultrajeux.com/produit-16461-aeon-s-end-tenebres-d-ailleurs-3760146646759.html,1,4,60,60,60,14,,,Oui
UltraJeux,La Marche du Progrès,la-marche-du-progres,https://www.ultrajeux.com/images/produits/normal/16462.jpg,21.95,19.75,https://www.ultrajeux.com/produit-16462-la-marche-du-progres-8437016497647.html,2,2,30,30,30,12,,,Oui
UltraJeux,Marvel Champions : Le Jeu De Cartes - Ant-Man,marvel-champions-le-jeu-de-cartes-ant-man,https://www.ultrajeux.com/images/produits/normal/16451.jpg,15.50,13.90,https://www.ultrajeux.com/produit-16451-marvel-champions-le-jeu-de-cartes-ant-man-8435407631106.html,1,4,90,45,90,14,,,Oui
UltraJeux,Dobble Gourmandise,dobble-gourmandise,https://www.ultrajeux.com/images/produits/normal/16453.jpg,9.90,8.90,https://www.ultrajeux.com/produit-16453-dobble-gourmandise-3558380081104.html,,,,,,,,,Oui
UltraJeux,Jungle Speed Eco,jungle-speed-eco,https://www.ultrajeux.com/images/produits/normal/16449.jpg,24.90,22.40,https://www.ultrajeux.com/produit-16449-jungle-speed-eco-3558380073185.html,,,,,,,,,Oui
UltraJeux,Paquet Recharge POG Série 1,paquet-recharge-pog-serie-1,https://www.ultrajeux.com/images/produits/normal/16444.jpg,3.90,2.35,https://www.ultrajeux.com/produit-16444-paquet-recharge-pog-serie-1-3558380073772.html,,,,,,,,,Oui
UltraJeux,Wingspan : Extension Océanie,wingspan-extension-oceanie,https://www.ultrajeux.com/images/produits/normal/16405.jpg,32.90,29.90,https://www.ultrajeux.com/produit-16405-wingspan-extension-oceanie-3760146648074.html,1,5,70,40,70,10,,,Oui
UltraJeux,Boomerang : Australia,boomerang-australia,https://www.ultrajeux.com/images/produits/normal/16424.jpg,13.50,12.15,https://www.ultrajeux.com/produit-16424-boomerang-australia-3760146649163.html,2,4,30,15,30,8,,,Oui
UltraJeux,Catan Junior,catan-junior,https://www.ultrajeux.com/images/produits/normal/11657.jpg,27.50,24.70,https://www.ultrajeux.com/produit-11657-catan-junior-8435407620469.html,2,4,30,30,30,6,,,Oui
UltraJeux,Calico,calico,https://www.ultrajeux.com/images/produits/normal/16415.jpg,35.90,32.30,https://www.ultrajeux.com/produit-16415-calico-0752830302389.html,1,4,45,30,45,10,,,Oui
UltraJeux,Escape Game - Sherlock holmes Vs Moriarty,escape-game-sherlock-holmes-vs-moriarty,https://www.ultrajeux.com/images/produits/normal/16411.jpg,19.90,17.91,https://www.ultrajeux.com/produit-16411-escape-game-sherlock-holmes-vs-moriarty-9782017094357.html,,,,,,,,,Oui
UltraJeux,Orchard,orchard,https://www.ultrajeux.com/images/produits/normal/16394.jpg,13.90,12.50,https://www.ultrajeux.com/produit-16394-orchard-0672975206437.html,2,8,10,10,10,3,,,Oui
UltraJeux,Pantone,pantone,https://www.ultrajeux.com/images/produits/normal/16398.jpg,29.90,26.90,https://www.ultrajeux.com/produit-16398-pantone-3663411310655.html,,,,,,,,,Oui
UltraJeux,Parks - extension nightfall,parks-extension-nightfall,https://www.ultrajeux.com/images/produits/normal/16383.jpg,22.95,20.65,https://www.ultrajeux.com/produit-16383-parks-extension-nightfall-3760146648142.html,,,,,,,,,Oui
UltraJeux,Ceci n'est pas un QUIZ PORNO quoique...,ceci-n-est-pas-un-quiz-porno-quoique,https://www.ultrajeux.com/images/produits/normal/16380.jpg,14.95,13.45,https://www.ultrajeux.com/produit-16380-ceci-n-est-pas-un-quiz-porno-quoique-9782376970880.html,,,,,,,,,Oui
UltraJeux,Battle Quiz ! spécial jeu vidéo,battle-quiz-special-jeu-video,https://www.ultrajeux.com/images/produits/normal/16374.jpg,14.95,13.45,https://www.ultrajeux.com/produit-16374-battle-quiz-special-jeu-video-9782376970873.html,,,,,,,,,Oui
