Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Ludifolie,Side Quest : Nemesis,side-quest-nemesis,https://www.ludifolie.com/39947-home_default/side-quest-nemesis.jpg,14.90,8.94,https://www.ludifolie.com/17310-side-quest-nemesis.html,1,4,120,90,120,14,https://cf.geekdo-images.com/lZqKQdLfEvdFt5Axar5dvg__original/img/F8iYC5NjfotA4o37nPJQq111YxU=/0x0/filters:format(jpeg)/pic7598141.jpg,https://boardgamegeek.com/boardgame/387538/
Ludifolie,HeroQuest - Le Mage du Miroir,heroquest-le-mage-du-miroir,https://www.ludifolie.com/33341-home_default/heroquest-le-mage-du-miroir.jpg,53.90,26.95,https://www.ludifolie.com/15403-heroquest-le-mage-du-miroir.html,1,5,120,30,120,14,https://cf.geekdo-images.com/VXt4qm5BkoEgmDB3vGeDXg__original/img/42ctCNoQ5cX9HxAX1yQcdi3mM_Q=/0x0/filters:format(jpeg)/pic6996095.jpg,https://boardgamegeek.com/boardgame/368275/
Ludifolie,Tiny Epic Pirates,tiny-epic-pirates,https://www.ludifolie.com/22033-home_default/tiny-epic-pirates.jpg,26.90,16.14,https://www.ludifolie.com/11871-tiny-epic-pirates.html,1,4,60,30,60,14,https://cf.geekdo-images.com/OACc4dCZKetKnT2hzAO1Mg__original/img/8hM0Y4fF_KxOEnm-rXK_ZmnaKR0=/0x0/filters:format(jpeg)/pic5410377.jpg,https://boardgamegeek.com/boardgame/309430/
Ludifolie,Vorex,vorex,https://www.ludifolie.com/34057-home_default/vorex.jpg,26.90,16.14,https://www.ludifolie.com/15617-vorex.html,1,4,30,30,30,8,https://cf.geekdo-images.com/9Z_xPvK1qRu-XbYZ21v-cQ__original/img/EXp5Fhd8D_zWIW3XN9UNT25T42c=/0x0/filters:format(jpeg)/pic7446477.jpg,https://boardgamegeek.com/boardgame/378842/
Ludifolie,Talisman : Le Cataclysme,talisman-le-cataclysme,https://www.ludifolie.com/45928-home_default/talisman-le-cataclysme.jpg,53.90,32.34,https://www.ludifolie.com/4445-talisman-le-cataclysme.html,2,6,90,90,90,13,https://cf.geekdo-images.com/QOD53hVZ7v50Sw_1ek8V0Q__original/img/g8n5mR-wogCXTytPn-TGH40zFy4=/0x0/filters:format(jpeg)/pic5089804.jpg,https://boardgamegeek.com/boardgame/189950/
Ludifolie,Beyond The Wall - Livre de Base,beyond-the-wall-livre-de-base,https://www.ludifolie.com/35903-home_default/beyond-the-wall-livre-de-base.jpg,44.90,26.94,https://www.ludifolie.com/16157-beyond-the-wall-livre-de-base.html,,,,,,,,
Ludifolie,Pokémon - Peluche Sac à Dos Pikachu 36cm,pokemon-peluche-sac-a-dos-pikachu-36cm,https://www.ludifolie.com/31370-home_default/pokemon-peluche-sac-a-dos-pikachu.jpg,26.90,16.14,https://www.ludifolie.com/14812-pokemon-peluche-sac-a-dos-pikachu.html,,,,,,,,
Ludifolie,Zapotec,zapotec,https://www.ludifolie.com/24120-home_default/zapotec.jpg,39.90,19.95,https://www.ludifolie.com/12538-zapotec.html,1,4,75,60,75,12,https://cf.geekdo-images.com/MsSuyFg7rV3CLcWTcYek4g__original/img/emeNCt5U-35b7ksheO_wl52zegY=/0x0/filters:format(jpeg)/pic5735710.jpg,https://boardgamegeek.com/boardgame/322589/
Ludifolie,Carson City - Big Box,carson-city-big-box,https://www.ludifolie.com/51683-home_default/carson-city-big-box.jpg,89.90,67.43,https://www.ludifolie.com/20718-carson-city-big-box.html,2,6,180,90,180,12,https://cf.geekdo-images.com/haPZu-OX6HcWBa-aeMSuYA__original/img/F-qrw6f5UAGQGKk8w3m1s_nVUpQ=/0x0/filters:format(jpeg)/pic4023278.jpg,https://boardgamegeek.com/boardgame/177352/
Ludifolie,Zhanguo : The First Empire,zhanguo-the-first-empire,https://www.ludifolie.com/41221-home_default/zhanguo-the-first-empire.jpg,59.90,29.95,https://www.ludifolie.com/17652-zhanguo-the-first-empire.html,,,,,,,,
