Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Esprit Jeu,Pack Unsettled,pack-unsettled,https://www.espritjeu.com/upload/image/pack-unsettled-p-image-98991-moyenne.jpg?1732020251,184.50,159.50,https://www.espritjeu.com/pack-unsettled.html,,,,,,,,
Esprit Jeu,Pack Captain Flip,pack-captain-flip,https://www.espritjeu.com/upload/image/pack-captain-flip-p-image-99066-moyenne.jpg?1732183713,29.40,25.90,https://www.espritjeu.com/pack-captain-flip.html,,,,,,,,
Esprit Jeu,Pack Sky Team,pack-sky-team,https://www.espritjeu.com/upload/image/pack-sky-team-p-image-99067-moyenne.jpg?1732184482,39.40,34.90,https://www.espritjeu.com/pack-sky-team.html,,,,,,,,
Esprit Jeu,Pack Anniversaire Amigo,pack-anniversaire-amigo,https://www.espritjeu.com/upload/image/pack-anniversaire-p-image-99247-moyenne.jpg?1732885214,39.80,29.80,https://www.espritjeu.com/pack-anniversaire.html,,,,,,,,
Esprit Jeu,Pack Nekojima,pack-nekojima,https://www.espritjeu.com/upload/image/pack-nekojima-p-image-99399-moyenne.jpg?1733833942,48.40,43.40,https://www.espritjeu.com/pack-nekojima.html,,,,,,,,
Esprit Jeu,Pack Duo de Parks,pack-duo-de-parks,https://www.espritjeu.com/upload/image/pack-duo-de-park-p-image-99434-moyenne.jpg?1733998665,64.00,16.00,https://www.espritjeu.com/pack-duo-de-parks.html,,,,,,,,
Esprit Jeu,Pack Splendor,pack-splendor,https://www.espritjeu.com/upload/image/pack-splendor-p-image-99435-moyenne.jpg?1733999850,46.00,39.10,https://www.espritjeu.com/pack-splendor.html,,,,,,,,
Esprit Jeu,Pack Forêt Mixte,pack-foret-mixte,https://www.espritjeu.com/upload/image/pack-foret-mixte-p-image-99440-moyenne.jpg?1734001960,44.90,39.90,https://www.espritjeu.com/pack-foret-mixte.html,,,,,,,,
Esprit Jeu,Pack d'Extensions Forêt Mixte,pack-d-extensions-foret-mixte,https://www.espritjeu.com/upload/image/pack-d-extensions-foret-mixte-p-image-99442-moyenne.jpg?1734005429,19.00,17.50,https://www.espritjeu.com/pack-d-extensions-foret-mixte.html,,,,,,,,
Esprit Jeu,Pack Long Story Short,pack-long-story-short,https://www.espritjeu.com/upload/image/pack-long-story-short-p-image-99460-moyenne.jpg?1734014511,11.80,10.80,https://www.espritjeu.com/pack-long-story-short.html,,,,,,,,
Esprit Jeu,Pack Cyclades & Troupes,pack-cyclades-troupes,https://www.espritjeu.com/upload/image/pack-cyclades---troupes-p-image-100204-moyenne.jpg?1736369261,129.80,122.80,https://www.espritjeu.com/cyclades-legendary-edition-pack-jeu-et-troupes.html,,,,,,,,
Esprit Jeu,Pack Cyclades La Totale,pack-cyclades-la-totale,https://www.espritjeu.com/upload/image/pack-cyclades-la-totale-p-image-100205-moyenne.jpg?1736369752,159.70,143.70,https://www.espritjeu.com/cyclades-legendary-pack-la-totale.html,,,,,,,,
Esprit Jeu,Pack Ceres,pack-ceres,https://www.espritjeu.com/upload/image/pack-ceres-p-image-100437-moyenne.jpg?1736939082,85.90,79.90,https://www.espritjeu.com/pack-ceres.html,,,,,,,,
Esprit Jeu,Pack Evergreen,pack-evergreen,https://www.espritjeu.com/upload/image/pack-evergreen-p-image-100472-moyenne.jpg?1737125976,60.80,55.80,https://www.espritjeu.com/pack-evergreen.html,,,,,,,,
Esprit Jeu,Pack The Vale Of Eternity,pack-the-vale-of-eternity,https://www.espritjeu.com/upload/image/pack-the-vale-of-eternity-p-image-100559-moyenne.jpg?1737383774,43.50,39.00,https://www.espritjeu.com/pack-the-vale-of-eternity.html,,,,,,,,
Esprit Jeu,Pack Fabulia + Extension,pack-fabulia-extension,https://www.espritjeu.com/upload/image/pack-fabulia---extension-p-image-100782-moyenne.jpg?1737712185,37.80,16.80,https://www.espritjeu.com/pack-fabulia-et-son-extension.html,,,,,,,,
Esprit Jeu,Pack Very Bad Lands,pack-very-bad-lands,https://www.espritjeu.com/upload/image/pack-very-bad-lands-p-image-100884-moyenne.jpg?1738069162,19.80,18.80,https://www.espritjeu.com/pack-very-bad-lands.html,,,,,,,,
Esprit Jeu,Pack Pirates de Maracaibo,pack-pirates-de-maracaibo,https://www.espritjeu.com/upload/image/pack-pirates-de-maracaibo-p-image-100923-moyenne.jpg?1738247769,82.30,77.30,https://www.espritjeu.com/pack-pirates-de-maracaibo.html,,,,,,,,
Esprit Jeu,Orléans Stories,orleans-stories,https://www.espritjeu.com/upload/image/orleans---stories-p-image-72097-moyenne.jpg?1598975116,65.90,36.25,https://www.espritjeu.com/jeux-de-strategie/orleans-stories.html,2,4,180,60,180,12,https://cf.geekdo-images.com/t_pmmQxuZwVDQ4gHNqUvSA__original/img/pQ40JY4HZ5p9ZeTAO7jComfghFQ=/0x0/filters:format(jpeg)/pic4911042.jpg,https://boardgamegeek.com/boardgame/287275/
Esprit Jeu,Creature Comforts,creature-comforts,https://www.espritjeu.com/upload/image/creature-comforts-p-image-93442-moyenne.jpg?1712562777,53.50,26.75,https://www.espritjeu.com/jeux-de-strategie/creature-comforts.html,1,5,45,45,45,8,https://cf.geekdo-images.com/A0ZRM7_H6ecCQ8-lW0MtQQ__original/img/VcraEiTpK1jfGuU_A3-UiaH-cZI=/0x0/filters:format(jpeg)/pic5799638.jpg,https://boardgamegeek.com/boardgame/304051/
Esprit Jeu,Traitement Lourd (Ext. Docteur Pilule),traitement-lourd-ext-docteur-pilule,https://www.espritjeu.com/upload/image/traitement-lourd--ext-docteur-pilule--p-image-98764-moyenne.jpg?1730806119,5.50,3.30,https://www.espritjeu.com/docteur-pilule-traitement-lourd.html,,,,,,,,
Esprit Jeu,Pack Frosthaven + Accessoires,pack-frosthaven-accessoires,https://www.espritjeu.com/upload/image/pack-frosthaven-p-image-99967-moyenne.jpg?1735644486,272.80,262.80,https://www.espritjeu.com/pack-frosthaven-accessoires.html,,,,,,,,
Esprit Jeu,Pack Wondrous Creatures,pack-wondrous-creatures,https://www.espritjeu.com/upload/image/pack-wondrous-creatures-p-image-100435-moyenne.jpg?1736932488,89.80,79.80,https://www.espritjeu.com/pack-wondrous-creatures.html,,,,,,,,
Golden Meeple,Altay: Dawn of Civilization,altay-dawn-of-civilization,https://www.goldenmeeple.be/wp-content/uploads/2025/02/Altay_0-200x200.jpg,42.07,37.93,https://www.goldenmeeple.be/produit/altay-dawn-of-civilization/,2,4,90,45,90,10,https://cf.geekdo-images.com/VgM1wKNgkovhqRerJBhhrg__original/img/PH7iQwS6HlUvcEI4zhCZsUDU6NE=/0x0/filters:format(png)/pic8327124.png,https://boardgamegeek.com/boardgame/334537/
Golden Meeple,Planet Unknow And Supermoon Expansion,planet-unknow-and-supermoon-expansion,https://www.goldenmeeple.be/wp-content/uploads/2023/10/Planet-Unknow-And-Supermoon-Expansion-200x200.jpg,139.01,115.70,https://www.goldenmeeple.be/produit/planet-unknow-and-supermoon-expansion/,,,,,,,,
Golden Meeple,Dino Trix: Tarot Adventures,dino-trix-tarot-adventures,https://www.goldenmeeple.be/wp-content/uploads/2025/02/Dino_Trix_0-200x200.jpg,48.68,41.24,https://www.goldenmeeple.be/produit/dino-trix-tarot-adventures/,2,5,90,30,90,12,https://cf.geekdo-images.com/CNbnotm8g40CU9vjOFgusg__original/img/R-MxSTqJWVsppX65m-fVDjS4-NE=/0x0/filters:format(jpeg)/pic8564844.jpg,https://boardgamegeek.com/boardgame/433797/
Golden Meeple,Sankoré,sankore,https://www.goldenmeeple.be/wp-content/uploads/2024/10/sankore-200x200.jpg,59.50,55.79,https://www.goldenmeeple.be/produit/sankore/,1,4,180,150,180,14,https://cf.geekdo-images.com/28jZrGyS6xja-rSxSs8zWQ__original/img/9l81IKpRnQgEDgu1_UQP9cFdoCM=/0x0/filters:format(jpeg)/pic7414454.jpg,https://boardgamegeek.com/boardgame/382518/
Golden Meeple,La Famiglia – Extension 2-3 Joueurs,la-famiglia-extension-2-3-joueurs,https://www.goldenmeeple.be/wp-content/uploads/2025/01/La-Famiglia-Extension-2-3-Joueurs-200x200.jpg,9.09,7.85,https://www.goldenmeeple.be/produit/la-famiglia-extension-2-3-joueurs/,,,,,,,,
Golden Meeple,Botswana (25th Century Games 2025 Edition),botswana-25th-century-games-2025-edition,https://www.goldenmeeple.be/wp-content/uploads/2025/01/Botswana_0-200x200.jpg,33.06,21.07,https://www.goldenmeeple.be/produit/botswana-25th-century-games-2025-edition/,,,,,,,,
Golden Meeple,Carolingi VO,carolingi-vo,https://www.goldenmeeple.be/wp-content/uploads/2024/12/Carolingi-200x200.jpg,79.01,70.66,https://www.goldenmeeple.be/produit/carolingi-vo/,,,,,,,,
Golden Meeple,Unconscious Mind – La Société du Mercredi,unconscious-mind-la-societe-du-mercredi,https://www.goldenmeeple.be/wp-content/uploads/2024/10/unconscious-mind-la-societe-du-mercredi-200x200.jpg,58.02,51.98,https://www.goldenmeeple.be/produit/unconscious-mind-la-societe-du-mercredi/,1,4,0,0,0,12,https://cf.geekdo-images.com/InbhWpR2poX7RFs2izOpTg__original/img/fkJect1WImjA70P2rj_kcU2iVZ4=/0x0/filters:format(png)/pic8014729.png,https://boardgamegeek.com/boardgame/379330/
Golden Meeple,Ark Nova – Pack Plateau Zoo 2,ark-nova-pack-plateau-zoo-2,https://www.goldenmeeple.be/wp-content/uploads/2024/11/ark-nova-pack-zoo-n2-plateau-zoo-rectoverso-extension-1-200x200.jpg,9.30,9.01,https://www.goldenmeeple.be/produit/ark-nova-pack-plateau-zoo-2/,,,,,,,,
Golden Meeple,Ratzia,ratzia,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ratzia_0-200x200.jpg,33.06,21.07,https://www.goldenmeeple.be/produit/ratzia/,2,5,45,45,45,12,https://cf.geekdo-images.com/jZ2RMeD_igxwJ0QRznsaSA__original/img/qnpH9YPZXx9DQj-hqX-mARvIQrA=/0x0/filters:format(png)/pic8284825.png,https://boardgamegeek.com/boardgame/12589/
Golden Meeple,Râ and Write,ra-and-write,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra__Write_0-200x200.jpg,38.02,24.71,https://www.goldenmeeple.be/produit/ra-and-write/,2,5,20,20,20,12,https://cf.geekdo-images.com/NPnGVHfC58mldp4MBQurAQ__original/img/bY1o1ToqSfZT0F5W3JzRouB_MeI=/0x0/filters:format(png)/pic8250216.png,https://boardgamegeek.com/boardgame/422796/
Golden Meeple,Râ KS Acrylic Edition + Extension Traders,ra-ks-acrylic-edition-extension-traders,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00-200x200.jpg,109.09,100.83,https://www.goldenmeeple.be/produit/ra-ks-acrylic-edition-extension-traders/,,,,,,,,
Golden Meeple,Râ : Traders KS Standard Edition,ra-traders-ks-standard-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra_Traders-200x200.jpg,28.51,20.58,https://www.goldenmeeple.be/produit/ra-traders-ks-standard-edition/,,,,,,,,
Golden Meeple,Râ : Traders KS Pharaoh Edition,ra-traders-ks-pharaoh-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra_Traders_Pharoah-200x200.jpg,33.06,24.71,https://www.goldenmeeple.be/produit/ra-traders-ks-pharoah-edition/,,,,,,,,
Golden Meeple,Râ KS Pharaoh Edition,ra-ks-pharaoh-edition,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00-200x200.jpg,99.17,90.83,https://www.goldenmeeple.be/produit/ra-deluxe-edition/,,,,,,,,
Golden Meeple,Râ KS Standard Edition,ra-ks-standard-edition,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00-200x200.jpg,52.07,40.91,https://www.goldenmeeple.be/produit/ra/,,,,,,,,
Golden Meeple,Ada’s Dream KS Deluxe Edition,adas-dream-ks-deluxe-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/10/Adas_Dream_0-200x200.jpg,85.12,65.29,https://www.goldenmeeple.be/produit/adas-dream-ks-deluxe-edition/,,,,,,,,
Golden Meeple,Indonesia,indonesia,https://www.goldenmeeple.be/wp-content/uploads/2024/10/indonesia-200x200.jpg,89.26,74.38,https://www.goldenmeeple.be/produit/indonesia/,2,5,240,180,240,14,https://cf.geekdo-images.com/H1nnDvsIaK-Hj8vOT-wYfQ__original/img/bV61N2g6P4ubLKtUL4yvjY1ielM=/0x0/filters:format(jpeg)/pic8210703.jpg,https://boardgamegeek.com/boardgame/19777/
Golden Meeple,Stakd Kickstarter édition,stakd-kickstarter-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/04/Stakd-200x200.jpg,52.56,42.07,https://www.goldenmeeple.be/produit/stakd-kickstarter-edition/,,,,,,,,
Golden Meeple,Trailblazer The Arizona Trail Kickstarter Deluxe...,trailblazer-the-arizona-trail-kickstarter-deluxe,https://www.goldenmeeple.be/wp-content/uploads/2024/06/Trailblazer-The-Arizona-Trail-Deluxe-Edition-200x200.jpg,106.20,84.30,https://www.goldenmeeple.be/produit/trailblazer-the-arizona-trail-kickstarter-deluxe-edition-bundle/,,,,,,,,
Golden Meeple,Trailblazer The Arizona Trail Kickstarter Deluxe...,trailblazer-the-arizona-trail-kickstarter-deluxe,https://www.goldenmeeple.be/wp-content/uploads/2024/06/Trailblazer-The-Arizona-Trail-Deluxe-Edition-200x200.jpg,82.89,66.12,https://www.goldenmeeple.be/produit/trailblazer-the-arizona-trail-kickstarter-deluxe-edition/,,,,,,,,
