Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Ludotrotter,One Piece - Bundle Treasure Pack + Coffret Live Action,one-piece-bundle-treasure-pack-coffret-live-action,https://ludotrotter.fr/wp-content/uploads/2025/02/OU-1-300x300.webp,60.00,48.00,https://ludotrotter.fr/produit/one-piece-bundle-treasure-pack-coffret-live-action/,,,,,,,
Play-In,Jungle Speed - JO Paris 2024,jungle-speed-jo-paris-2024,https://www.play-in.com/img/product/m/jungle-speed-jo-paris-2024-jeu-zygomatic-boite.jpg,18.50,9.90,https://www.play-in.com/produit/520316-jungle_speed_-_jo_paris_2024,,,,,,,
Play-In,Reykholt,reykholt,https://www.play-in.com/img/product/m/reykholt-jeu-renegade-boite.jpg,44.90,22.45,https://www.play-in.com/produit/276603-reykholt,1,4,60,30,60,12,
Play-In,US Telegraph,us-telegraph,https://www.play-in.com/img/product/m/us-telegraph-boite-de-jeu.jpg,35.90,18.90,https://www.play-in.com/produit/394045-us_telegraph,2,4,60,45,60,10,
Iello,Convoi Express,convoi-express,https://iello.shop/1067-product_large/convoi-express.jpg,38.00,20.00,https://iello.shop/jeux/171-convoi-express-3760175518690.html,2,4,45,45,45,10,
Iello,Eleven : Coupe Internationale,eleven-coupe-internationale,https://iello.shop/1649-product_large/eleven-coupe-internationale.jpg,20.00,12.00,https://iello.shop/extensions/232-eleven-coupe-internationale-3701551700346.html,1,4,120,60,120,14,
Iello,Eleven : Joueurs Internationaux,eleven-joueurs-internationaux,https://iello.shop/1657-product_large/eleven-joueurs-internationaux.jpg,20.00,12.00,https://iello.shop/extensions/234-eleven-joueurs-internationaux-3701551700360.html,1,4,120,60,120,14,
Iello,EPIC,epic,https://iello.shop/3280-product_large/epic.jpg,16.00,8.50,https://iello.shop/jeux/408-epic-3760175513367.html,2,4,40,20,40,13,
Iello,Galaxy Trucker : Effets Spatiaux,galaxy-trucker-effets-spatiaux,https://iello.shop/1806-product_large/galaxy-trucker-effets-spatiaux.jpg,30.00,15.00,https://iello.shop/extensions/251-galaxy-trucker-effets-spatiaux-3701551701039.html,2,4,60,30,60,8,
Iello,Imperial Settlers : Empires du Nord – Bannières Romaines,imperial-settlers-empires-du-nord-bannieres-romaines,https://iello.shop/883-product_large/imperial-settlers-empires-du-nord-bannieres-romaines.jpg,22.00,10.00,https://iello.shop/extensions/153-imperial-settlers-empires-du-nord-bannieres-romaines-3760175518027.html,1,4,90,45,90,10,
Iello,Imperial Settlers : Empires du Nord – Hordes Barbares,imperial-settlers-empires-du-nord-hordes-barbares,https://iello.shop/1239-product_large/imperial-settlers-empires-du-nord-hordes-barbares.jpg,22.00,10.00,https://iello.shop/extensions/190-imperial-settlers-empires-du-nord-hordes-barbares-3760175519178.html,1,4,90,45,90,10,
Iello,Imperial Settlers : Empires du Nord – Îles Japonaises,imperial-settlers-empires-du-nord-iles-japonaises,https://iello.shop/556-product_large/imperial-settlers-empires-du-nord-iles-japonaises.jpg,22.00,10.00,https://iello.shop/extensions/112-imperial-settlers-empires-du-nord-iles-japonaises-3760175517396.html,1,4,90,45,90,10,
Iello,Imperial Settlers : Empires du Nord – Rois d’Egypte,imperial-settlers-empires-du-nord-rois-degypte,https://iello.shop/560-product_large/imperial-settlers-empires-du-nord-rois-d-egypte.jpg,22.00,10.00,https://iello.shop/extensions/113-imperial-settlers-empires-du-nord-rois-d-egypte-3760175519338.html,1,4,90,45,90,10,
Iello,Imperial Settlers : Roll and Write,imperial-settlers-roll-and-write,https://iello.shop/669-product_large/imperial-settlers-roll-and-write.jpg,25.00,12.00,https://iello.shop/jeux/130-imperial-settlers-roll-and-write-3760175517075.html,1,4,30,30,30,10,
Iello,Le Film qui valait 3 Milliards,le-film-qui-valait-3-milliards,https://iello.shop/2400-product_large/le-film-qui-valait-3-milliards.jpg,24.00,12.00,https://iello.shop/jeux/189-le-film-qui-valait-3-milliards-3760175519116.html,3,10,60,45,60,14,
Iello,Monolith Arena,monolith-arena,https://iello.shop/475-product_large/monolith-arena.jpg,45.00,15.00,https://iello.shop/jeux/99-monolith-arena-3760175516238.html,2,4,45,30,45,10,
Iello,Smash Up Marvel,smash-up-marvel,https://iello.shop/1130-product_large/smash-up-marvel.jpg,35.00,21.00,https://iello.shop/jeux/182-smash-up-marvel-3760175518898.html,2,4,60,30,60,12,
Iello,The Big Book of Madness : Le Ve élément,the-big-book-of-madness-le-ve-element,https://iello.shop/284-product_large/the-big-book-of-madness-le-5eme-element.jpg,16.50,10.00,https://iello.shop/extensions/56-the-big-book-of-madness-le-5eme-element-3760175513718.html,2,5,90,60,90,12,
Iello,Tiny Turbo Cars,tiny-turbo-cars,https://iello.shop/1307-product_large/tiny-turbo-cars.jpg,32.00,20.00,https://iello.shop/jeux/195-tiny-turbo-cars-3760175519376.html,2,4,45,30,45,8,
Black Book Editions,Codex 2 : La Malédiction de l'Abbaye de Thélème,codex-2-la-malediction-de-l-abbaye-de-theleme,https://img.black-book-editions.fr/3_NN47VPON3H_1gwhxfWneHniu4=/240x/images/products/4/8/9/3/4893655b9152537586965a0c74fdc47e3683dfb0_codex_2_la_malediction_de_l_abbaye_de_theleme.jpg,49.50,39.60,https://black-book-editions.fr/produit.php?id=115551,,,,,,,
