Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Golden Meeple,Cargo Empire Kickstarter Deluxe,cargo-empire-kickstarter-deluxe,https://www.goldenmeeple.be/wp-content/uploads/2024/04/Cargo-Empire-200x200.jpg,90.30,74.00,https://www.goldenmeeple.be/produit/cargo-empire-kickstarter-deluxe/,,,,,,,,
Golden Meeple,Sunrise Avenue,sunrise-avenue,https://www.goldenmeeple.be/wp-content/uploads/2024/03/sunrise-avenue-200x200.jpg,34.90,24.40,https://www.goldenmeeple.be/produit/sunrise-avenue/,2,4,45,45,45,8,https://cf.geekdo-images.com/nfMAnSqat9Cyy1bwwZlQ_g__original/img/pkM2JA8wTqjAFj7_ihMcdjDM5bc=/0x0/filters:format(jpeg)/pic7645268.jpg,https://boardgamegeek.com/boardgame/394334/
Golden Meeple,Critter Kitchen Deluxe Dinner Kickstarter Edition,critter-kitchen-deluxe-dinner-kickstarter-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/02/Critter-Kitchen-200x200.jpg,117.60,97.50,https://www.goldenmeeple.be/produit/critter-kitchen-deluxe-dinner-kickstarter-edition/,,,,,,,,
Golden Meeple,Cretaceous Rails – Crowdfunding Exclusive...,cretaceous-rails-crowdfunding-exclusive,https://www.goldenmeeple.be/wp-content/uploads/2024/01/Cretaceous-Rails-Crowdfunding-Exclusive-Edition-All-In-200x200.jpg,200.90,171.40,https://www.goldenmeeple.be/produit/cretaceous-rails-crowdfunding-exclusive-edition-all-in/,1,4,120,45,120,14,https://cf.geekdo-images.com/o7hJIuK6jqc0fHyksuqEng__original/img/PLLoyEnqCBfrO_760qKB_kWd6O8=/0x0/filters:format(jpeg)/pic8342817.jpg,https://boardgamegeek.com/boardgame/405344/
Golden Meeple,Tricky Time Crisis,tricky-time-crisis,https://www.goldenmeeple.be/wp-content/uploads/2024/01/Tricky-Time-Crisis-200x200.jpg,35.00,26.50,https://www.goldenmeeple.be/produit/tricky-time-crisis/,2,5,45,25,45,9,https://cf.geekdo-images.com/4vhBCdmIO6eSyoL3ZUY2dw__original/img/oeFPT7XUMAJbRCxfK_J06IyUvWk=/0x0/filters:format(jpeg)/pic7441612.jpg,https://boardgamegeek.com/boardgame/383701/
Golden Meeple,Planet Unknow And Supermoon Expansion,planet-unknow-and-supermoon-expansion,https://www.goldenmeeple.be/wp-content/uploads/2023/10/Planet-Unknow-And-Supermoon-Expansion-200x200.jpg,168.20,140.00,https://www.goldenmeeple.be/produit/planet-unknow-and-supermoon-expansion/,,,,,,,,
Golden Meeple,Tycoon India 1981 Kickstarter Deluxe Edition,tycoon-india-1981-kickstarter-deluxe-edition,https://www.goldenmeeple.be/wp-content/uploads/2023/10/Tycoon-India-1981-Deluxe-Edition-200x200.jpg,119.00,99.00,https://www.goldenmeeple.be/produit/tycoon-india-1981-kickstarter-deluxe-edition/,,,,,,,,
Golden Meeple,Food Chain Magnate – The Ketchup Mechanism...,food-chain-magnate-the-ketchup-mechanism,https://www.goldenmeeple.be/wp-content/uploads/2023/07/Food-Chain-Magnate-The-Ketchup-Mechanism-Other-Ideas-00-200x200.jpg,90.00,73.50,https://www.goldenmeeple.be/produit/food-chain-magnate-the-ketchup-mechanism-other-ideas/,2,6,240,120,240,14,https://cf.geekdo-images.com/5D_bKoIGmYkyWDlhrXdkNQ__original/img/E8qg1LhFMa6WPpXMncsI7PFX28o=/0x0/filters:format(jpeg)/pic4545980.jpg,https://boardgamegeek.com/boardgame/261526/
Golden Meeple,Boite de Rangement – Token Silo White Multicolor,boite-de-rangement-token-silo-white-multicolor,https://www.goldenmeeple.be/wp-content/uploads/2023/04/Boite-de-Rangement-Token-Silo-White-Multicolor-1-00-200x200.jpg,14.10,12.90,https://www.goldenmeeple.be/produit/boite-de-rangement-token-silo-white-multicolor/,,,,,,,,
Golden Meeple,The Flood Deluxe édition,the-flood-deluxe-edition,https://www.goldenmeeple.be/wp-content/uploads/2023/04/The-Flood-Deluxe-edition-00-200x200.jpg,170.70,151.70,https://www.goldenmeeple.be/produit/the-flood-deluxe-edition/,,,,,,,,
