Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New,Promotion
UltraJeux,Débats Nuls,debats-nuls,https://www.ultrajeux.com/images/produits/normal/23860.jpg,17.80,16.00,https://www.ultrajeux.com/produit-23860-debats-nuls-3770028211005.html,,,,,,,,Oui
UltraJeux,Aliens: Encore Une Jolie Journée De Soleil,aliens-encore-une-jolie-journee-de-soleil,https://www.ultrajeux.com/images/produits/normal/23828.jpg,63.90,57.50,https://www.ultrajeux.com/produit-23828-aliens-encore-une-jolie-journee-de-soleil-9781638841647.html,1,6,120,60,120,14,,Oui
UltraJeux,Souviens-toi,souviens-toi,https://www.ultrajeux.com/images/produits/normal/23830.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23830-souviens-toi-3760372230647.html,2,4,30,30,30,10,,Oui
UltraJeux,Autobahn,autobahn,https://www.ultrajeux.com/images/produits/normal/23807.jpg,44.95,40.45,https://www.ultrajeux.com/produit-23807-autobahn-5425037741026.html,1,4,150,90,150,14,,Oui
UltraJeux,Taboo,taboo,https://www.ultrajeux.com/images/produits/normal/23773.jpg,35.90,32.30,https://www.ultrajeux.com/produit-23773-taboo-5010994204372.html,4,10,20,20,20,12,,Oui
UltraJeux,Marvel United - Deadpool,marvel-united-deadpool,https://www.ultrajeux.com/images/produits/normal/23790.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23790-marvel-united-deadpool-3558380107767.html,1,5,40,40,40,14,,Oui
UltraJeux,Marvel United - Les Gardiens de la Galaxie Remix,marvel-united-les-gardiens-de-la-galaxie-remix,https://www.ultrajeux.com/images/produits/normal/23792.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23792-marvel-united-les-gardiens-de-la-galaxie-remix-3558380107736.html,1,4,45,30,45,14,,Oui
UltraJeux,Marvel United - Equipe Dorée,marvel-united-equipe-doree,https://www.ultrajeux.com/images/produits/normal/23795.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23795-marvel-united-equipe-doree-3558380107750.html,,,,,,,,Oui
UltraJeux,Marvel United - Légendes d'Asgard,marvel-united-legendes-d-asgard,https://www.ultrajeux.com/images/produits/normal/23796.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23796-marvel-united-legendes-d-asgard-3558380107729.html,,,,,,,,Oui
UltraJeux,Marvel United - L'Ascension de Black Panther,marvel-united-l-ascension-de-black-panther,https://www.ultrajeux.com/images/produits/normal/23797.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23797-marvel-united-l-ascension-de-black-panther-3558380107705.html,,,,,,,,Oui
UltraJeux,Bermuda Pirates,bermuda-pirates,https://www.ultrajeux.com/images/produits/normal/23799.jpg,29.90,26.90,https://www.ultrajeux.com/produit-23799-bermuda-pirates-3558380107446.html,2,4,30,20,30,7,,Oui
UltraJeux,Hotel,hotel,https://www.ultrajeux.com/images/produits/normal/23749.jpg,34.90,31.40,https://www.ultrajeux.com/produit-23749-hotel-3181860750216.html,2,4,60,60,60,8,,Oui
UltraJeux,Les Mystères de Pékin Junior,les-mysteres-de-pekin-junior,https://www.ultrajeux.com/images/produits/normal/23751.jpg,21.99,19.80,https://www.ultrajeux.com/produit-23751-les-mysteres-de-pekin-junior-3181860750230.html,2,4,0,0,0,5,,Oui
UltraJeux,Richesses du Monde,richesses-du-monde,https://www.ultrajeux.com/images/produits/normal/23753.jpg,34.90,31.40,https://www.ultrajeux.com/produit-23753-richesses-du-monde-3181860750452.html,2,6,120,120,120,10,,Oui
UltraJeux,Nexcube Keychain (Porte -Clés),nexcube-keychain-porte-cles,https://www.ultrajeux.com/images/produits/normal/23754.jpg,4.90,4.40,https://www.ultrajeux.com/produit-23754-nexcube-keychain-porte-cles-8720077283541.html,,,,,,,,Oui
UltraJeux,Chou y es tu ?,chou-y-es-tu,https://www.ultrajeux.com/images/produits/normal/23686.jpg,19.90,17.90,https://www.ultrajeux.com/produit-23686-chou-y-es-tu-3558380107583.html,2,4,0,0,0,6,,Oui
UltraJeux,Zombicide - Marvel Zombies - Undead Avengers,zombicide-marvel-zombies-undead-avengers,https://www.ultrajeux.com/images/produits/normal/23690.jpg,116.90,105.20,https://www.ultrajeux.com/produit-23690-zombicide-marvel-zombies-undead-avengers-3558380108993.html,1,6,60,60,60,14,,Oui
UltraJeux,Elawa,elawa,https://www.ultrajeux.com/images/produits/normal/23692.jpg,14.90,13.40,https://www.ultrajeux.com/produit-23692-elawa-3770000010619.html,2,4,30,30,30,8,,Oui
UltraJeux,Le Seigneur des Anneaux JCE - Le Chasse Rêve - Extension héros,le-seigneur-des-anneaux-jce-le-chasse-reve-extension-heros,https://www.ultrajeux.com/images/produits/normal/23693.jpg,44.50,39.90,https://www.ultrajeux.com/produit-23693-le-seigneur-des-anneaux-jce-le-chasse-reve-extension-heros-0841333121983.html,,,,,,,,Oui
UltraJeux,Black Orchestra,black-orchestra,https://www.ultrajeux.com/images/produits/normal/23602.jpg,57.90,52.10,https://www.ultrajeux.com/produit-23602-black-orchestra-3760372230654.html,1,5,90,90,90,14,,Oui
UltraJeux,Everdell : Extension Mistwood,everdell-extension-mistwood,https://www.ultrajeux.com/images/produits/normal/23569.jpg,55.90,50.50,https://www.ultrajeux.com/produit-23569-everdell-extension-mistwood-3760146642782.html,,,,,,,,Oui
UltraJeux,Boom Boom Cats & Dogs,boom-boom-cats-dogs,https://www.ultrajeux.com/images/produits/normal/23559.jpg,20.00,18.00,https://www.ultrajeux.com/produit-23559-boom-boom-cats-dogs-5900511023145.html,2,4,10,10,10,5,,Oui
UltraJeux,Final Girl - Le manoir hanté,final-girl-le-manoir-hante,https://www.ultrajeux.com/images/produits/normal/23518.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23518-final-girl-le-manoir-hante-3663411311478.html,1,1,60,20,60,14,,Oui
UltraJeux,Everdell : Extension Newleaf,everdell-extension-newleaf,https://www.ultrajeux.com/images/produits/normal/23470.jpg,55.90,50.50,https://www.ultrajeux.com/produit-23470-everdell-extension-newleaf-3760146642775.html,,,,,,,,Oui
UltraJeux,Star Wars Shatterpoint : Twice The Pride Squad Pack,star-wars-shatterpoint-twice-the-pride-squad-pack,https://www.ultrajeux.com/images/produits/normal/23484.jpg,44.95,40.45,https://www.ultrajeux.com/produit-23484-star-wars-shatterpoint-twice-the-pride-squad-pack-0841333120306.html,0,0,0,0,0,0,,Oui
UltraJeux,Star Wars Shatterpoint : Measurement Tools,star-wars-shatterpoint-measurement-tools,https://www.ultrajeux.com/images/produits/normal/23489.jpg,13.50,12.15,https://www.ultrajeux.com/produit-23489-star-wars-shatterpoint-measurement-tools-0841333120344.html,,,,,,,,Oui
UltraJeux,Star Wars Shatterpoint : Dice Pack,star-wars-shatterpoint-dice-pack,https://www.ultrajeux.com/images/produits/normal/23490.jpg,13.50,12.50,https://www.ultrajeux.com/produit-23490-star-wars-shatterpoint-dice-pack-0841333120337.html,,,,,,,,Oui
UltraJeux,Oasis New Hope,oasis-new-hope,https://www.ultrajeux.com/images/produits/normal/23494.jpg,18.95,17.05,https://www.ultrajeux.com/produit-23494-oasis-new-hope-3760379830000.html,2,4,40,25,40,10,,Oui
UltraJeux,Zenda - Le Maître du Stress,zenda-le-maitre-du-stress,https://www.ultrajeux.com/images/produits/normal/23465.jpg,33.90,30.50,https://www.ultrajeux.com/produit-23465-zenda-le-maitre-du-stress-0830096007283.html,2,6,30,30,30,7,,Oui
UltraJeux,Decrypto XL,decrypto-xl,https://www.ultrajeux.com/images/produits/normal/23466.jpg,63.90,57.50,https://www.ultrajeux.com/produit-23466-decrypto-xl-0807658000938.html,3,8,45,15,45,12,,Oui
UltraJeux,La Mort aux Trousses,la-mort-aux-trousses,https://www.ultrajeux.com/images/produits/normal/23391.jpg,31.95,28.75,https://www.ultrajeux.com/produit-23391-la-mort-aux-trousses-3760243851599.html,1,1,45,30,45,10,,Oui
UltraJeux,La Mort aux Trousses - Extension Toxique,la-mort-aux-trousses-extension-toxique,https://www.ultrajeux.com/images/produits/normal/23392.jpg,18.00,16.20,https://www.ultrajeux.com/produit-23392-la-mort-aux-trousses-extension-toxique-3760243851612.html,,,,,,,,Oui
UltraJeux,Les Royaumes Sauvages,les-royaumes-sauvages,https://www.ultrajeux.com/images/produits/normal/23393.jpg,24.95,22.45,https://www.ultrajeux.com/produit-23393-les-royaumes-sauvages-0787790618492.html,1,5,45,45,45,8,,Oui
UltraJeux,Timeline Twist,timeline-twist,https://www.ultrajeux.com/images/produits/normal/23454.jpg,18.50,16.60,https://www.ultrajeux.com/produit-23454-timeline-twist-3558380099413.html,2,6,30,20,30,8,,Oui
UltraJeux,Timeline Twist Pop Culture,timeline-twist-pop-culture,https://www.ultrajeux.com/images/produits/normal/23455.jpg,14.95,13.45,https://www.ultrajeux.com/produit-23455-timeline-twist-pop-culture-3558380105367.html,2,6,30,20,30,8,,Oui
UltraJeux,Zombicide - Undead or Alive : Gears & Guns,zombicide-undead-or-alive-gears-guns,https://www.ultrajeux.com/images/produits/normal/23448.jpg,44.90,40.40,https://www.ultrajeux.com/produit-23448-zombicide-undead-or-alive-gears-guns-3558380105732.html,1,6,60,60,60,14,,Oui
UltraJeux,Zombicide - Undead or Alive : Running Wild,zombicide-undead-or-alive-running-wild,https://www.ultrajeux.com/images/produits/normal/23449.jpg,35.90,32.30,https://www.ultrajeux.com/produit-23449-zombicide-undead-or-alive-running-wild-3558380105725.html,1,6,0,0,0,14,,Oui
UltraJeux,Chromino Edition 2023,chromino-edition-2023,https://www.ultrajeux.com/images/produits/normal/23451.jpg,29.90,26.90,https://www.ultrajeux.com/produit-23451-chromino-edition-2023-3558380108092.html,,,,,,,,Oui
UltraJeux,The Bomb,the-bomb,https://www.ultrajeux.com/images/produits/normal/23430.jpg,8.90,8.00,https://www.ultrajeux.com/produit-23430-the-bomb-8005125163038.html,,,,,,,,Oui
UltraJeux,KITTY RACE,kitty-race,https://www.ultrajeux.com/images/produits/normal/23431.jpg,8.90,8.00,https://www.ultrajeux.com/produit-23431-kitty-race-8005125165667.html,2,5,15,15,15,7,,Oui
UltraJeux,Go Nuts !,go-nuts,https://www.ultrajeux.com/images/produits/normal/23432.jpg,9.00,8.10,https://www.ultrajeux.com/produit-23432-go-nuts-7640142762973.html,,,,,,,,Oui
UltraJeux,TORTUGA,tortuga,https://www.ultrajeux.com/images/produits/normal/23433.jpg,8.90,8.00,https://www.ultrajeux.com/produit-23433-tortuga-8005125165674.html,2,2,30,30,30,12,,Oui
UltraJeux,Bravo Bravo,bravo-bravo,https://www.ultrajeux.com/images/produits/normal/23402.jpg,9.90,8.90,https://www.ultrajeux.com/produit-23402-bravo-bravo-0832665000299.html,2,12,15,15,15,8,,Oui
UltraJeux,Tell me more,tell-me-more,https://www.ultrajeux.com/images/produits/normal/23406.jpg,13.20,11.90,https://www.ultrajeux.com/produit-23406-tell-me-more-0894342000367.html,3,8,15,10,15,10,,Oui
UltraJeux,Playmat,playmat,https://www.ultrajeux.com/images/produits/normal/23380.jpg,29.90,26.90,https://www.ultrajeux.com/produit-23380-etherfields-playmat-5904689270646.html,6,12,0,0,0,6,,Oui
UltraJeux,Candy Catch,candy-catch,https://www.ultrajeux.com/images/produits/normal/23387.jpg,8.90,8.00,https://www.ultrajeux.com/produit-23387-candy-catch-8005125165650.html,2,6,10,10,10,6,,Oui
UltraJeux,Aeon's End : Secrets Enfouis,aeon-s-end-secrets-enfouis,https://www.ultrajeux.com/images/produits/normal/23354.jpg,19.95,17.95,https://www.ultrajeux.com/produit-23354-aeon-s-end-secrets-enfouis-3760372231057.html,1,4,60,60,60,14,,Oui
UltraJeux,Fort: Extension Chiens et Chats,fort-extension-chiens-et-chats,https://www.ultrajeux.com/images/produits/normal/23356.jpg,13.90,12.50,https://www.ultrajeux.com/produit-23356-fort-extension-chiens-et-chats-3760146643116.html,,,,,,,,Oui
UltraJeux,Chronicles of Avel - Extension Nouvelles aventures,chronicles-of-avel-extension-nouvelles-aventures,https://www.ultrajeux.com/images/produits/normal/23314.jpg,38.90,34.90,https://www.ultrajeux.com/produit-23314-chronicles-of-avel-extension-nouvelles-aventures-5902650618282.html,2,4,60,60,60,8,,Oui
UltraJeux,Ça tourne - L'extension Série B,ca-tourne-l-extension-serie-b,https://www.ultrajeux.com/images/produits/normal/23316.jpg,22.90,20.60,https://www.ultrajeux.com/produit-23316-ca-tourne-l-extension-serie-b-0787790619093.html,1,6,90,45,90,10,,Oui
UltraJeux,Evergreen,evergreen,https://www.ultrajeux.com/images/produits/normal/23284.jpg,44.90,40.40,https://www.ultrajeux.com/produit-23284-evergreen-3421273176518.html,2,6,30,20,30,12,,Oui
UltraJeux,Level 8 Nouvelle édition,level-8-nouvelle-edition,https://www.ultrajeux.com/images/produits/normal/23288.jpg,10.95,9.90,https://www.ultrajeux.com/produit-23288-level-8-nouvelle-edition-4005556208654.html,,,,,,,,Oui
UltraJeux,Subbuteo,subbuteo,https://www.ultrajeux.com/images/produits/normal/23289.jpg,36.90,33.20,https://www.ultrajeux.com/produit-23289-subbuteo-3760046783240.html,2,2,20,20,20,6,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Vipères des dunes,le-trone-de-fer-le-jeu-de-figurines-viperes-des-dunes,https://www.ultrajeux.com/images/produits/normal/23263.jpg,33.95,30.55,https://www.ultrajeux.com/produit-23263-le-trone-de-fer-le-jeu-de-figurines-viperes-des-dunes-0889696015945.html,2,2,60,45,60,14,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Chevaliers des météores,le-trone-de-fer-le-jeu-de-figurines-chevaliers-des-meteores,https://www.ultrajeux.com/images/produits/normal/23264.jpg,33.95,30.55,https://www.ultrajeux.com/produit-23264-le-trone-de-fer-le-jeu-de-figurines-chevaliers-des-meteores-0889696015969.html,2,2,60,45,60,14,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Eclaireurs des météores,le-trone-de-fer-le-jeu-de-figurines-eclaireurs-des-meteores,https://www.ultrajeux.com/images/produits/normal/23265.jpg,33.95,30.55,https://www.ultrajeux.com/produit-23265-le-trone-de-fer-le-jeu-de-figurines-eclaireurs-des-meteores-0889696015952.html,2,2,60,45,60,14,,Oui
UltraJeux,Tanto Cuore - Winter romance,tanto-cuore-winter-romance,https://www.ultrajeux.com/images/produits/normal/23244.jpg,49.95,44.95,https://www.ultrajeux.com/produit-23244-tanto-cuore-winter-romance-0703558840516.html,2,4,60,30,60,12,,Oui
UltraJeux,Kingsbridge,kingsbridge,https://www.ultrajeux.com/images/produits/normal/23230.jpg,15.50,13.90,https://www.ultrajeux.com/produit-23230-kingsbridge-3701551700636.html,,,,,,,,Oui
