Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Maître Renard,Vagrantsong,vagrantsong,https://maitrerenard.shop/wp-content/uploads/2023/11/VAGRANTSONG-300x300.jpg.webp,64.80,45.50,https://maitrerenard.shop/product/vagrantsong/,2,4,120,45,120,14,
Maître Renard,Cartzzle – La nuit étoilée,cartzzle-la-nuit-etoilee,https://maitrerenard.shop/wp-content/uploads/2023/09/cartzzle_nuit_etoilee-2-300x300.jpg.webp,8.70,5.00,https://maitrerenard.shop/product/cartzzle-la-nuit-etoilee/,1,2,45,20,45,8,
Maître Renard,Cartzzle Foules,cartzzle-foules,https://maitrerenard.shop/wp-content/uploads/2023/09/Cartzzle-–-Foules-1-300x300.jpg.webp,8.70,5.00,https://maitrerenard.shop/product/cartzzle-la-dame-a-la-licorne-2/,1,1,45,20,45,8,
Maître Renard,Atiwa,atiwa,https://maitrerenard.shop/wp-content/uploads/2023/09/ATIWA-300x300.png.webp,55.80,44.00,https://maitrerenard.shop/product/atiwa/,1,4,120,30,120,12,
Maître Renard,Tiny Acrobats,tiny-acrobats,https://maitrerenard.shop/wp-content/uploads/2023/09/TINY-ACROBATS-300x300.jpg.webp,28.50,19.90,https://maitrerenard.shop/product/tiny-acrobats/,2,4,20,20,20,8,
Maître Renard,Nautilus Island,nautilus-island,https://maitrerenard.shop/wp-content/uploads/2023/09/nautilus-island-1-300x300.jpg.webp,22.50,13.50,https://maitrerenard.shop/product/nautilus-island/,2,4,30,20,30,8,
Maître Renard,DC Comics : Spyfall,dc-comics-spyfall,https://maitrerenard.shop/wp-content/uploads/2023/08/DC-Comics-Spyfall-300x300.jpg.webp,18.00,9.00,https://maitrerenard.shop/product/dc-comics-spyfall/,3,8,50,40,50,13,
Maître Renard,Inicio Mini,inicio-mini,https://maitrerenard.shop/wp-content/uploads/2023/08/Inicio-Mini-300x300.png.webp,9.20,5.00,https://maitrerenard.shop/product/inicio-mini/,2,6,15,15,0,8,
Maître Renard,Feelings Malvoyance,feelings-malvoyance,https://maitrerenard.shop/wp-content/uploads/2023/07/FEELINGS-Malvoyance-300x300.jpg.webp,46.50,34.00,https://maitrerenard.shop/product/feelings-malvoyance/,,,,,,,
Maître Renard,ETTIN – L’union fait la force,ettin-lunion-fait-la-force,https://maitrerenard.shop/wp-content/uploads/2023/07/ETTIN-–-Lunion-fait-la-force-2-300x300.jpg.webp,63.00,44.00,https://maitrerenard.shop/product/ettin-lunion-fait-la-force/,2,8,60,0,60,14,
Maître Renard,Pacte avec le Diable,pacte-avec-le-diable,https://maitrerenard.shop/wp-content/uploads/2023/05/Pacte-avec-le-diable-300x300.jpg.webp,63.00,44.00,https://maitrerenard.shop/product/pacte-avec-le-diable/,4,4,150,120,150,14,
Maître Renard,Cartzzle Le Baiser,cartzzle-le-baiser,https://maitrerenard.shop/wp-content/uploads/2022/10/Cartzzle-Le-Baiser--300x300.jpg.webp,8.70,5.00,https://maitrerenard.shop/product/cartzzle-le-baiser/,1,2,45,20,45,8,
Maître Renard,Cartzzle La Dame à la Licorne,cartzzle-la-dame-a-la-licorne,https://maitrerenard.shop/wp-content/uploads/2022/10/Cartzzle-La-Dame-a-la-Licorne-300x300.jpg.webp,8.70,5.00,https://maitrerenard.shop/product/cartzzle-la-dame-a-la-licorne/,1,2,45,20,45,8,
Maître Renard,Sabika,sabika,https://maitrerenard.shop/wp-content/uploads/2022/12/sabika-boite-300x300.jpg.webp,50.40,40.00,https://maitrerenard.shop/product/sabika/,1,4,120,60,120,14,
Maître Renard,D&D : Figurine Adorable Power : Alhoon Variant,d-d-figurine-adorable-power-alhoon-variant,https://maitrerenard.shop/wp-content/uploads/2022/10/Figurine-Adorable-Power-Alhoon-Variant-300x300.jpg.webp,14.20,8.00,https://maitrerenard.shop/product/dd-figurine-adorable-power-alhoon-variant/,,,,,,,
Maître Renard,Time Capsules,time-capsules,https://maitrerenard.shop/wp-content/uploads/2023/02/time-capsules-boite-300x300.jpg.webp,69.70,48.80,https://maitrerenard.shop/product/time-capsules/,1,4,90,60,90,12,
Maître Renard,Insert Coin to Play,insert-coin-to-play,https://maitrerenard.shop/wp-content/uploads/2022/02/insert-coin-to-play-boite-300x300.jpg.webp,11.60,6.00,https://maitrerenard.shop/product/insert-coin-to-play/,2,6,20,15,20,8,
Maître Renard,Eleven – Coupe Internationale,eleven-coupe-internationale,https://maitrerenard.shop/wp-content/uploads/2020/10/cooupe-internationale-ext-eleven-boite-324x324.jpg.webp,18.00,12.50,https://maitrerenard.shop/product/eleven-coupe-internationale/,1,4,120,60,120,14,
Maître Renard,Les dés de Valeria Ext. Le Château en Hiver,les-des-de-valeria-ext-le-chateau-en-hiver,https://maitrerenard.shop/wp-content/uploads/2022/12/le-chateau-en-hiver-ext-des-de-valeria-boite-300x300.jpg.webp,8.70,6.10,https://maitrerenard.shop/product/les-des-de-valeria-ext-le-chateau-en-hiver/,1,5,45,30,45,8,
Maître Renard,Les dés de Valeria,les-des-de-valeria,https://maitrerenard.shop/wp-content/uploads/2022/12/les-des-de-valeria-boite-300x300.jpg.webp,24.00,16.80,https://maitrerenard.shop/product/les-des-de-valeria/,1,4,45,30,45,8,
Maître Renard,Teen Titans Go ! Mayhem,teen-titans-go-mayhem,https://maitrerenard.shop/wp-content/uploads/2022/12/Teen-Titans-Go-Mayhem-boite-300x300.jpg.webp,55.70,39.00,https://maitrerenard.shop/product/teen-titans-go-mayhem/,2,4,30,30,0,10,
Maître Renard,IELLO – Puzzle UNIVERSE – 1000p : City Owl,iello-puzzle-universe-1000p-city-owl,https://maitrerenard.shop/wp-content/uploads/2022/12/Mockup-Puzzle-2_Pack-com_City-Owl._Light-300x300.jpg.webp,18.90,10.00,https://maitrerenard.shop/product/iello-puzzle-universe-1000p-city-owl/,,,,,,,
Maître Renard,Planet B,planet-b,https://maitrerenard.shop/wp-content/uploads/2022/11/Planet-B-300x300.jpg.webp,69.70,48.50,https://maitrerenard.shop/product/planet-b/,2,4,180,60,180,14,
Maître Renard,Nouvelles Contrées : Aventures Thématiques,nouvelles-contrees-aventures-thematiques,https://maitrerenard.shop/wp-content/uploads/2022/11/Nouvelles-Contrees-Aventures-Thematiques-300x300.png.webp,18.00,14.00,https://maitrerenard.shop/product/nouvelles-contrees-aventures-thematiques/,2,6,60,60,60,10,
Maître Renard,Beewizz – l’anglais en jeu,beewizz-langlais-en-jeu,https://maitrerenard.shop/wp-content/uploads/2020/10/beewizz-l-anglais-en-jeu-300x300.jpg.webp,19.20,13.40,https://maitrerenard.shop/product/beewizz-langlais-en-jeu/,,,,,,,
Maître Renard,Barbie Mistigri – Girl Power,barbie-mistigri-girl-power,https://maitrerenard.shop/wp-content/uploads/2020/10/barbie-mistigri-girl-power-boite-300x300.jpg.webp,12.50,9.90,https://maitrerenard.shop/product/barbie-mistigri-girl-power/,,,,,,,
