Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Golden Meeple,Oath – New Foundations – All the ...,oath-new-foundations-all-the,https://www.goldenmeeple.be/wp-content/uploads/2025/05/Oath-New-Foundations-All-the-New-Stuff-Pledge.jpg,123.40,99.00,https://www.goldenmeeple.be/produit/oath-new-foundations-all-the-new-stuff-pledge/,,,,,,,
Golden Meeple,Perch Kickstarter Edition,perch-kickstarter-edition,https://www.goldenmeeple.be/wp-content/uploads/2025/02/Perch_0.jpg,48.00,39.90,https://www.goldenmeeple.be/produit/perch-kickstarter-edition/,2,5,60,30,60,14,
Golden Meeple,Altay: Dawn of Civilization,altay-dawn-of-civilization,https://www.goldenmeeple.be/wp-content/uploads/2025/02/Altay_0.jpg,50.90,45.90,https://www.goldenmeeple.be/produit/altay-dawn-of-civilization/,2,4,90,45,90,10,
Golden Meeple,Altered – Epreuve du Froid Display,altered-epreuve-du-froid-display,https://www.goldenmeeple.be/wp-content/uploads/2025/01/Altered-CH02-Epreuve-du-Froid-Display.jpg,139.95,99.90,https://www.goldenmeeple.be/produit/altered-epreuve-du-froid-display/,,,,,,,
Golden Meeple,Botswana (25th Century Games 2025 Edition),botswana-25th-century-games-2025-edition,https://www.goldenmeeple.be/wp-content/uploads/2025/01/Botswana_0.jpg,40.00,25.50,https://www.goldenmeeple.be/produit/botswana-25th-century-games-2025-edition/,2,5,30,20,30,7,
Golden Meeple,Carolingi VO,carolingi-vo,https://www.goldenmeeple.be/wp-content/uploads/2024/12/Carolingi.jpg,95.60,85.50,https://www.goldenmeeple.be/produit/carolingi-vo/,2,6,180,60,180,12,
Golden Meeple,Ratzia,ratzia,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ratzia_0.jpg,40.00,25.50,https://www.goldenmeeple.be/produit/ratzia/,2,5,45,45,45,12,
Golden Meeple,Râ and Write,ra-and-write,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra__Write_0.jpg,46.00,29.90,https://www.goldenmeeple.be/produit/ra-and-write/,2,5,20,20,20,12,
Golden Meeple,Râ KS Acrylic Edition + Extension Traders,ra-ks-acrylic-edition-extension-traders,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00.jpg,132.00,122.00,https://www.goldenmeeple.be/produit/ra-ks-acrylic-edition-extension-traders/,2,5,60,30,60,12,
Golden Meeple,Râ : Traders KS Standard Edition,ra-traders-ks-standard-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra_Traders.jpg,34.50,24.90,https://www.goldenmeeple.be/produit/ra-traders-ks-standard-edition/,2,5,60,30,60,12,
Golden Meeple,Râ : Traders KS Pharaoh Edition,ra-traders-ks-pharaoh-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra_Traders_Pharoah.jpg,40.00,29.90,https://www.goldenmeeple.be/produit/ra-traders-ks-pharoah-edition/,2,5,60,30,60,12,
Golden Meeple,Ada’s Dream KS Deluxe Edition,adas-dream-ks-deluxe-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/10/Adas_Dream_0.jpg,103.00,79.00,https://www.goldenmeeple.be/produit/adas-dream-ks-deluxe-edition/,1,4,120,90,120,14,
Golden Meeple,Indonesia,indonesia,https://www.goldenmeeple.be/wp-content/uploads/2024/10/indonesia.jpg,108.00,90.00,https://www.goldenmeeple.be/produit/indonesia/,2,5,240,180,240,14,
Golden Meeple,Trailblazer The Arizona Trail Kickstarter Del...,trailblazer-the-arizona-trail-kickstarter-del,https://www.goldenmeeple.be/wp-content/uploads/2024/06/Trailblazer-The-Arizona-Trail-Deluxe-Edition.jpg,128.50,102.00,https://www.goldenmeeple.be/produit/trailblazer-the-arizona-trail-kickstarter-deluxe-edition-bundle/,,,,,,,
Golden Meeple,Cargo Empire Kickstarter Deluxe,cargo-empire-kickstarter-deluxe,https://www.goldenmeeple.be/wp-content/uploads/2024/04/Cargo-Empire.jpg,90.30,74.00,https://www.goldenmeeple.be/produit/cargo-empire-kickstarter-deluxe/,1,5,90,60,90,10,
Golden Meeple,Bridge City Poker,bridge-city-poker,https://www.goldenmeeple.be/wp-content/uploads/2024/04/Bridge-City-Poker.jpg,45.80,32.00,https://www.goldenmeeple.be/produit/bridge-city-poker/,2,4,45,20,45,12,
Golden Meeple,Stakd Kickstarter édition,stakd-kickstarter-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/04/Stakd.jpg,63.60,50.90,https://www.goldenmeeple.be/produit/stakd-kickstarter-edition/,2,6,30,30,0,7,
Golden Meeple,Best Candy of The Block – Rewrapped,best-candy-of-the-block-rewrapped,https://www.goldenmeeple.be/wp-content/uploads/2024/03/Best-Candy-of-The-Block-Rewrapped.jpg,35.00,20.00,https://www.goldenmeeple.be/produit/best-candy-of-the-block-rewrapped/,2,5,90,45,90,9,
Golden Meeple,Trick of Fixer,trick-of-fixer,https://www.goldenmeeple.be/wp-content/uploads/2024/03/Trick-Of-Fixer.jpg,42.75,25.00,https://www.goldenmeeple.be/produit/trick-of-fixer/,4,5,60,15,60,12,
Golden Meeple,Cretaceous Rails – Crowdfunding Exclusi...,cretaceous-rails-crowdfunding-exclusi,https://www.goldenmeeple.be/wp-content/uploads/2024/01/Cretaceous-Rails-Crowdfunding-Exclusive-Edition-All-In.jpg,200.90,171.40,https://www.goldenmeeple.be/produit/cretaceous-rails-crowdfunding-exclusive-edition-all-in/,,,,,,,
Golden Meeple,Planet Unknow And Supermoon Expansion,planet-unknow-and-supermoon-expansion,https://www.goldenmeeple.be/wp-content/uploads/2023/10/Planet-Unknow-And-Supermoon-Expansion.jpg,168.20,140.00,https://www.goldenmeeple.be/produit/planet-unknow-and-supermoon-expansion/,1,6,80,65,80,10,
Golden Meeple,Draft and Write Records Kickstarter Edition,draft-and-write-records-kickstarter-edition,https://www.goldenmeeple.be/wp-content/uploads/2023/09/Draft-and-Write-Rec.jpg,43.40,30.95,https://www.goldenmeeple.be/produit/draft-and-write-records-kickstarter-edition/,,,,,,,
Golden Meeple,Food Chain Magnate – The Ketchup Mechan...,food-chain-magnate-the-ketchup-mechan,https://www.goldenmeeple.be/wp-content/uploads/2023/07/Food-Chain-Magnate-The-Ketchup-Mechanism-Other-Ideas-00.jpg,90.00,82.30,https://www.goldenmeeple.be/produit/food-chain-magnate-the-ketchup-mechanism-other-ideas/,,,,,,,
Golden Meeple,Râ KS Standard Edition,ra-ks-standard-edition,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00.jpg,63.00,49.50,https://www.goldenmeeple.be/produit/ra/,,,,,,,
Golden Meeple,Boite de Rangement – Token Silo White M...,boite-de-rangement-token-silo-white-m,https://www.goldenmeeple.be/wp-content/uploads/2023/04/Boite-de-Rangement-Token-Silo-White-Multicolor-1-00.jpg,14.10,12.95,https://www.goldenmeeple.be/produit/boite-de-rangement-token-silo-white-multicolor/,,,,,,,
