Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
BCD Jeux,Platypus,platypus,https://www.bcd-jeux.fr/32032-home_default/platypus-matagot.jpg,5.90,2.95,https://www.bcd-jeux.fr/accueil/13445-platypus-matagot-3760146647473.html,2,8,30,30,30,8,New
Ludotrotter,One Piece - Bundle Treasure Pack + Coffret Live Action,one-piece-bundle-treasure-pack-coffret-live-action,https://ludotrotter.fr/wp-content/uploads/2025/02/OU-1-300x300.webp,60.00,48.00,https://ludotrotter.fr/produit/one-piece-bundle-treasure-pack-coffret-live-action/,,,,,,,
Play-In,Jungle Speed - JO Paris 2024,jungle-speed-jo-paris-2024,https://www.play-in.com/img/product/m/jungle-speed-jo-paris-2024-jeu-zygomatic-boite.jpg,18.50,9.90,https://www.play-in.com/produit/520316-jungle_speed_-_jo_paris_2024,,,,,,,
Play-In,Reykholt,reykholt,https://www.play-in.com/img/product/m/reykholt-jeu-renegade-boite.jpg,44.90,22.45,https://www.play-in.com/produit/276603-reykholt,1,4,60,30,60,12,
Play-In,US Telegraph,us-telegraph,https://www.play-in.com/img/product/m/us-telegraph-boite-de-jeu.jpg,35.90,18.90,https://www.play-in.com/produit/394045-us_telegraph,2,4,60,45,60,10,
Black Book Editions,Codex 2 : La Malédiction de l'Abbaye de Thélème,codex-2-la-malediction-de-l-abbaye-de-theleme,https://img.black-book-editions.fr/3_NN47VPON3H_1gwhxfWneHniu4=/240x/images/products/4/8/9/3/4893655b9152537586965a0c74fdc47e3683dfb0_codex_2_la_malediction_de_l_abbaye_de_theleme.jpg,49.50,39.60,https://black-book-editions.fr/produit.php?id=115551,,,,,,,
Black Book Editions,Codex Naturalis - Boite Carton,codex-naturalis-boite-carton,https://img.black-book-editions.fr/rKFPgJpcsWIzvPLzeDP3RnGuviU=/240x/images/products/c/2/d/1/c2d125e6b1d41f46a542a9dae21e83a13331879d_206471.jpg,14.90,11.90,https://black-book-editions.fr/produit.php?id=112121,,,,,,,
Black Book Editions,Puzzle Panorama : Harry Potter,puzzle-panorama-harry-potter,https://img.black-book-editions.fr/VzhMx8vvIjDRtxmqX4_1k-ZyKAE=/240x/images/products/b/b/8/7/bb87983a85397e011d365fd6d81e86849c66f555_122281.jpg,19.90,15.92,https://black-book-editions.fr/produit.php?id=124821,,,,,,,
Black Book Editions,Star Realms,star-realms,https://img.black-book-editions.fr/aptRc1gx3sCwvXQLbHPBlui02UI=/240x/images/products/3/d/0/a/3d0adbd2cb5c5caa65f7a17544f8415270101a75_27791.jpg,16.90,15.90,https://black-book-editions.fr/produit.php?id=14471,2,2,20,20,20,12,
Black Book Editions,La Nuit des Fantômes,la-nuit-des-fantomes,https://img.black-book-editions.fr/SaCjA0lzcAhdeiMBIHL7dUbvTJw=/240x/images/products/d/a/a/9/daa91e1ffec49e8dd6a87e0f968d5dec04210960_1_smartgames_lanuitdesfantomes_pack.jpg,17.90,14.90,https://black-book-editions.fr/produit.php?id=93621,,,,,,,
