Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Ludisphere,Dekal,dekal,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/Boite_jeu_Dekal.jpg?v=1727518544&width=533,13.50,12.15,https://ludisphere.fr//products/dekal,,,,,,,,
Ludisphere,Sur les traces de Marie Curie,sur-les-traces-de-marie-curie,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeusurlestracesdeMarieCurie.jpg?v=1724775163&width=533,31.00,27.90,https://ludisphere.fr//products/sur-les-traces-de-marie-curie,2,4,30,20,30,10,https://cf.geekdo-images.com/z7XZ5_k20MNN2gcxShqZwQ__original/img/K1XpDRGeamfdelOI_DhtdPmxfqM=/0x0/filters:format(png)/pic7999443.png,https://boardgamegeek.com/boardgame/408770/
Ludisphere,Sushi Go Party !,sushi-go-party,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeuSushiGoParty.jpg?v=1718292688&width=533,21.90,19.71,https://ludisphere.fr//products/sushi-go-party,,,,,,,,
Ludisphere,Expéditions - Autour du monde,expeditions-autour-du-monde,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/Boite_jeu_Expeditions_autour_du_monde.jpg?v=1719567223&width=533,26.50,23.85,https://ludisphere.fr//products/expeditions-autour-du-monde,2,6,45,30,45,8,https://cf.geekdo-images.com/NLW9mPb9B4Sc9upbOD8lKA__original/img/cx-1smnej9Vf4LE-7NnDb-p8s6A=/0x0/filters:format(png)/pic7388989.png,https://boardgamegeek.com/boardgame/223/
Ludisphere,Jekyll & Hyde vs Scotland Yard,jekyll-hyde-vs-scotland-yard,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeujekyll_hydevsscotlandyard.jpg?v=1725539219&width=533,13.90,12.51,https://ludisphere.fr//products/jekyll-hyde-vs-scotland-yard,,,,,,,,
Ludisphere,Mythwind,mythwind,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/BoiteJeuMythwind.jpg?v=1717507979&width=533,88.90,80.01,https://ludisphere.fr//products/mythwind,1,4,60,30,60,13,https://cf.geekdo-images.com/pqu26JNQZB0jCcVDC18PKQ__original/img/H66R4AERgf5JoiefCgm195rujzg=/0x0/filters:format(png)/pic6422235.png,https://boardgamegeek.com/boardgame/317582/
Ludisphere,Kit de Démarrage Bloomburrow,kit-de-demarrage-bloomburrow,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/KitdeDemarrageMagicBloomburrow.jpg?v=1717445714&width=533,15.90,14.31,https://ludisphere.fr//products/kit-de-demarrage-bloomburrow,,,,,,,,
Ludisphere,Top Ten,top-ten,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeuTopTen.jpg?v=1718305754&width=533,18.90,17.01,https://ludisphere.fr//products/top-ten,,,,,,,,
Ludisphere,Codex Naturalis,codex-naturalis,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boite1jeuCodexNaturalis_294f3e54-aa85-46a4-b230-35d4e41d78e7.jpg?v=1725472020&width=533,13.50,12.15,https://ludisphere.fr//products/codex-naturalis,1,4,30,20,30,7,https://cf.geekdo-images.com/0I7U0tz-RgpIFWWco5FKLA__original/img/BeNJf5TlpTDS56qdhL1lpjiyMmc=/0x0/filters:format(png)/pic5612161.png,https://boardgamegeek.com/boardgame/314503/
Ludisphere,Les Charlatans de Belcastel,les-charlatans-de-belcastel,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeuLesCharlatansdeBelcastel_06d3af49-add4-46bd-a856-4c7af8c80481.jpg?v=1719936614&width=533,39.50,35.55,https://ludisphere.fr//products/les-charlatans-de-belcastel-1,2,4,45,45,45,10,https://cf.geekdo-images.com/pH5LgRL4mNRon-2NsSDb1Q__original/img/8PEJOyuKGbTaEGbUbCoLQy_i65Y=/0x0/filters:format(png)/pic6137509.png,https://boardgamegeek.com/boardgame/244521/
Ludisphere,Backstories - Seule Sous La Glace,backstories-seule-sous-la-glace,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boite_jeu_Backstories_-_Seule_Sous_La_Glace.jpg?v=1721417530&width=533,12.00,10.80,https://ludisphere.fr//products/backstories-seule-sous-la-glace,1,6,70,50,70,10,https://cf.geekdo-images.com/XoNr0ImZ12f2tMUvoAp_ww__original/img/dHqbYpDqdYE1hov3Hdyckvmcbvs=/0x0/filters:format(jpeg)/pic8134255.jpg,https://boardgamegeek.com/boardgame/415921/
Ludisphere,Kit de Démarrage Ombres de la Galaxie,kit-de-demarrage-ombres-de-la-galaxie,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/KitdeDemarrageStarWarsUnlimitedOmbresdelaGalaxie.png?v=1717500239&width=533,26.50,23.85,https://ludisphere.fr//products/kit-de-demarrage-ombres-de-la-galaxie,,,,,,,,
Ludisphere,Dune Imperium,dune-imperium,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeuDuneImperium.jpg?v=1728230084&width=533,51.50,46.35,https://ludisphere.fr//products/dune-imperium,1,4,120,60,120,14,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg,https://boardgamegeek.com/boardgame/316554/
Ludisphere,Yu-Gi-Oh! - 50 Protèges Cartes Format Mini- Officiel Konami,yu-gi-oh-50-proteges-cartes-format-mini-officiel-konami,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/sleeve_Konami_kuriboh.jpg?v=1708118690&width=533,3.30,2.97,https://ludisphere.fr//products/yu-gi-oh-50-proteges-cartes-format-mini-officiel-konami,,,,,,,,
Ludisphere,Les Aventuriers du rail Europe,les-aventuriers-du-rail-europe,https://ludisphere.fr///ludisphere.fr/cdn/shop/files/boitejeuLesAventuriersdurailEurope.jpg?v=1718382176&width=533,38.60,34.74,https://ludisphere.fr//products/les-aventuriers-du-rail-europe,2,5,60,30,60,8,https://cf.geekdo-images.com/0K1AOciqlMVUWFPLTJSiww__original/img/O37sCRSJLq4S8EpCxFDNVsNBuxE=/0x0/filters:format(jpeg)/pic66668.jpg,https://boardgamegeek.com/boardgame/14996/
